Name,Description,Author,Comment,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Clocktower,Every two turns[;] gain [shield]7,nm,,1,,,,,ORANGE,change_power,change_power,,,0,YES,NO,,,,,,if (turn%2==0) { inflictself(SHIELD|7); sfx(~_shield~); e.animate(~flashandshake~); },,,,,,,
Clocktower_upgraded,Every two turns[;] gain [shield]9,nm,,1,,,,,ORANGE,,,,,0,YES,NO,,,,,,if (turn%2==0) { inflictself(SHIELD|9); sfx(~_shield~); e.animate(~flashandshake~); },,,,,,,
Clocktower_downgraded,Every two turns[;] gain [shield]5,nm,,1,,,,,ORANGE,,,,,0,YES,NO,,,,,,if (turn%2==0) { inflictself(SHIELD|5); sfx(~_shield~); e.animate(~flashandshake~); },,,,,,,
Grammar,Deal [sword]<d6> damage|On 6[;] inflict [silence]Silence,nm,,2,attack(d); sfxdamage(target|d); if (d==6) { inflict(~ncr_silence~); sfx(~_silence~|~~|0.2); },,EVEN,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Grammar_upgraded,Deal [sword]<d6> damage|On 6[;] inflict [silence]Silence,nm,,2,attack(d); sfxdamage(target|d); if (d==8) { inflict(~ncr_silence~); sfx(~_silence~|~~|0.2); },,EVEN|FREE2,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Grammar_downgraded,[sword]<d6> dmg [silence]Silence,nm,,2,attack(d); sfxdamage(target|d); if (d==4) { inflict(~ncr_silence~); sfx(~_silence~|~~|0.2); },,REQUIRE4,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,,,,,,,,
Larrying Dagger,Do [sword]<d6> damage[;] the|enemy becomes [larry]Larry,nm,,1,attack(d); sfxdamage(target|d); if (target.name != ~Larry~) { target.setvar(~originalname~|target.name); target.name = ~Larry~; sfx(~_thinghappens~); } else { target.textparticle(~No effect!~); },,ODD|FREE1,,PURPLE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Larrying Dagger_upgraded,Do [sword]<d6> damage[;] the|enemy becomes [larry]Larry,nm,,1,attack(d); sfxdamage(target|d); if (target.name != ~Larry~) { target.setvar(~originalname~|target.name); target.name = ~Larry~; sfx(~_thinghappens~); } else { target.textparticle(~No effect!~); },,NORMAL|FREE1,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Larrying Dagger_downgraded,Do [sword]<d6> damage[;] the|enemy becomes [larry]Larry,nm,,1,attack(d); sfxdamage(target|d); if (target.name != ~Larry~) { target.setvar(~originalname~|target.name); target.name = ~Larry~; sfx(~_thinghappens~); } else { target.textparticle(~No effect!~); },,ODD,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Larry Bash,Do [sword]2 damage|(Cost: [larry]Larry[]: [sword]10 more),nm,,1,if (target.name != ~Larry~) { attack(2); sfxdamage(target|2); } else { if (target.getvar(~originalname~) != null) { target.name = target.getvar(~originalname~); sfx(~_thinghappens~); } attack(12); sfxdamage(target|12); },,DOUBLES|DOUBLES,,PURPLE,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Larry Bash_upgraded,Do [sword]3 damage|(Cost: [larry]Larry[]: [sword]12 more),nm,,1,if (target.name != ~Larry~) { attack(3); sfxdamage(target|3); } else { if (target.getvar(~originalname~) != null) { target.name = target.getvar(~originalname~); sfx(~_thinghappens~); } attack(15); sfxdamage(target|15); },,DOUBLES|DOUBLES,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Larry Bash_downgraded,Do [sword]2 damage|(Cost: [larry]Larry[]: [sword]6 more),nm,,1,if (target.name != ~Larry~) { attack(2); sfxdamage(target|2); } else { if (target.getvar(~originalname~) != null) { target.name = target.getvar(~originalname~); sfx(~_thinghappens~); } attack(8); sfxdamage(target|8); },,DOUBLES|DOUBLES,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Bongo,First use: Do [weaken]<d6> damage|2nd use: inflict [weaken]2 weaken|,nm,,1,if (e.usesleft != 0) { attack(d|WEAKEN); sfxdamage(target|d); sfx(~_weaken~); } else { inflict(WEAKEN|2); sfx(~_weaken~); },,ODD,,ORANGE,change_power,change_power,,,2,NO,NO,,,,,,,,,,,,,
Bongo_upgraded,First use: Do [weaken]<d6> damage|2nd use: inflict [weaken]3 weaken|,nm,,1,if (e.usesleft != 0) { attack(d|WEAKEN); sfxdamage(target|d); sfx(~_weaken~); } else { inflict(WEAKEN|3); sfx(~_weaken~); },,ODD,,ORANGE,,,,,2,NO,NO,,,,,,,,,,,,,
Bongo_downgraded,First use: Do [weaken]<d6> damage|2nd use: inflict [weaken]1 weaken|,nm,,1,if (e.usesleft != 0) { attack(d|WEAKEN); sfxdamage(target|d); sfx(~_weaken~); } else { inflict(WEAKEN|1); sfx(~_weaken~); },,ODD,,ORANGE,,,,,2,NO,NO,,,,,,,,,,,,,
Unbalanced Item,Every three turns[;] take|an extra turn,nm,,1,,,,,YELLOW,change_power,change_power,,,0,NO,NO,,,,,,if (turn%3==0) { inflictself(EXTRATURN); sfx(~_recycle~); e.animate(~flashandshake~); },,,,,,,
Unbalanced Item_upgraded,Do [sword]<d6> damage|(Every three turns[;] take|an extra turn),nm,,2,attack(d); sfxdamage(target|d);,,NORMAL|FREE1,,YELLOW,,,,,0,NO,NO,,,,,,if (turn%3==0) { inflictself(EXTRATURN); sfx(~_recycle~); e.animate(~flashandshake~); },,,,,,,
Unbalanced Item_downgraded,Every three turns[;] take|an extra turn and lose [heart]1,nm,oh god,1,,,,,YELLOW,,,,,0,NO,NO,,,,,,if (turn%3==0) { inflictself(EXTRATURN); sfx(~_recycle~); e.animate(~flashandshake~); pierceattackself(1); sfx(~_drain~); },,,,,,,
Unbalanced Item_weakened,Do [sword]<d6> damage|(Every three turns[;] take|an extra turn and lose [heart]1),,,2,attack(d); sfxdamage(target|d);,,NORMAL|FREE1,,YELLOW,change_power,change_power,,,0,NO,YES,,,,,,if (turn%3==0) { inflictself(EXTRATURN); sfx(~_recycle~); e.animate(~flashandshake~); pierceattackself(1); sfx(~_drain~); },,,,,,,
Spannaargh,Combine dice[;] lose [heart]<d6>|,nm,,1,givedice(d); pierceattackself(d); sfx(~_drain~);,,NORMAL|NORMAL,,RED,change_power,change_power,,,-1,YES,NO,,,,,,,,,,,,,
Spannaargh_upgraded,Combine dice[;] lose [heart]<half>|,nm,,1,givedice(d); pierceattackself(d/2+0.5); sfx(~_drain~);,,NORMAL|NORMAL,,RED,,,,,-1,YES,NO,,,,,,,,,,,,,
Spannaargh_downgraded,Combine dice[;] lose [heart]<double>|,nm,,1,givedice(d); pierceattackself(d*2); sfx(~_drain~);,,NORMAL|NORMAL,,RED,,,,,-1,YES,NO,,,,,,,,,,,,,
Wacky Dice Manipulator,Dice value +1[;] flip results,nm,,1,if (d==6) givedice([1|6]); else givedice(6-d);,,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Wacky Dice Manipulator_upgraded,Dice value +1[;] flip results|,nm,,1,if (d==6) givedice([1|6]); else givedice(6-d);,,NORMAL,,GREEN,,,,,2,YES,NO,,,,,,,,,,,,,
Wacky Dice Manipulator_downgraded,Dice value +1[;] flip results,nm,,1,if (d==6) givedice([1|6]); else givedice(6-d);,,MAX5,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Filler Item,Snap one of your|other unused items,nm,,1,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var eq = rand(eqs); runscript(~ncrmod/snap~|[eq|true]); sfx(~jester_snap~); } else { self.textparticle(~No targets!~); },,DOUBLES|DOUBLES,,PINK,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Filler Item_upgraded,Snap one of your other|unused items[;] get a dice,nm,,1,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var eq = rand(eqs); runscript(~ncrmod/snap~|[eq|true]); sfx(~jester_snap~); } else { self.textparticle(~No targets!~); } givedice();,,DOUBLES|DOUBLES,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
Filler Item_downgraded,Snap one of your|other unused items,nm,,1,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var eq = rand(eqs); runscript(~ncrmod/snap~|[eq|true]); sfx(~jester_snap~); } else { self.textparticle(~No targets!~); },,REQUIRE3|REQUIRE3,,PINK,,,,,0,YES,NO,,,,,,,,,,,,,
R[dash]R[dash]Freezerator,Every two turns[;] inflict [ice]3,nm,,1,,,,,BRIGHTCYAN,change_power,change_power,,,0,NO,NO,,,,,,if (turn%2==0) { inflict(ICE|3); sfx(~_ice~); e.animate(~flashandshake~); },,,,,,,
R[dash]R[dash]Freezerator_upgraded,Inflict [ice]1 freeze|Every two turns[;] inflict [ice]3,nm,,1,inflict(ICE); sfx(~_ice~);,,ODD,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,if (turn%2==0) { inflict(ICE|3); sfx(~_ice~); e.animate(~flashandshake~); },,,,,,,
R[dash]R[dash]Freezerator_downgraded,Every two turns[;] inflict [ice]2,nm,,1,,,,,BRIGHTCYAN,,,,,0,NO,NO,,,,,,if (turn%2==0) { inflict(ICE|2); sfx(~_ice~); e.animate(~flashandshake~); },,,,,,,
What's For Dinner?,Inflict [poison]<timesused>[][;] +[poison]1 each use|[gray]''Slop! Slime!''|,nm,,2,inflict(POISON|e.timesused+1); sfx(~_poison~);,,REQUIRE6,,PURPLE,change_power,change_power,,,2,NO,NO,,,,,,,,,,,,,
What's For Dinner?_upgraded,Inflict [poison]<timesused>[][;] +[poison]1 each use|[gray][80%]''I wonder what's for dinner?''|,nm,,2,inflict(POISON|e.timesused+1); sfx(~_poison~);,,REQUIRE6,,PURPLE,,,,,3,NO,NO,,,,,,,,,,,,,
What's For Dinner?_downgraded,Inflict [poison]<timesused>[][;] +[poison]1 each use|[gray]''What Ever A Meal One Can|[80%][gray]Make With A Slop Or A Slime???'',nm,,2,inflict(POISON|e.timesused+1); sfx(~_poison~);,,REQUIRE6,,PURPLE,,,,,0,NO,NO,,,,,,,,,,,,,
Director's Cut,Do [sword]<d6> damage|Split both dice,nm,,2,attack(d); sfxdamage(target|d); var results = []; for (ad in actualdice) { results = results.concat(split(ad.basevalue)); } givedice(results);,,REQUIRE6|REQUIRE6,,GREEN,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,var results = []; for (ad in actualdice) { results = results.concat(split(ad.basevalue)); } givedice(results);
Director's Cut_upgraded,Do [sword]<d6> damage|Split both dice,nm,,2,attack(d); sfxdamage(target|d); var results = []; for (ad in actualdice) { results = results.concat(split(ad.basevalue)); } givedice(results);,,MIN5|MIN5,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,var results = []; for (ad in actualdice) { results = results.concat(split(ad.basevalue)); } givedice(results);
Director's Cut_downgraded,Do [sword]<d6> damage|Split a dice,nm,,2,attack(d); sfxdamage(target|d); givedice(6);,,REQUIRE6|REQUIRE6,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,var results = []; for (ad in actualdice) { results = results.concat(split(ad.basevalue)); } givedice(results);
Jam Cannon,Heal [heal]8 health|[80%][gray]''Worst-Aid Kit'',nm,,1,attackself(-8); sfx(~_heal~);,,COUNTDOWN,20,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Jam Cannon_upgraded,Heal [heal]10 health,nm,,1,attackself(-10); sfx(~_heal~);,,COUNTDOWN,20,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Jam Cannon_downgraded,Heal [heal]5 health,nm,,1,attackself(-5); sfx(~_heal~);,,COUNTDOWN,20,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Bad Idea,Get three new dice|,nm,,1,givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]);,,DOUBLES|DOUBLES,,RED,change_power,change_power,,,3,YES,NO,,,,,,,,,,,,,
Bad Idea_upgraded,Get three new dice|,nm,,1,givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]);,,DOUBLES|DOUBLES,,RED,,,,,6,YES,NO,,,,,,,,,,,,,
Bad Idea_downgraded,Get three new dice|,nm,,1,givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]);,,DOUBLES|DOUBLES,,RED,,,,,2,YES,NO,,,,,,,,,,,,,
Prototype,Get a copy of one of|your unused items,nm,,2,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var choseneq = rand(eqs); var eq = null; if (choseneq.size == 2) eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~)]); else eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~) + 144]); sfx(~_thinghappens~); } else { var eq = runscript(~overcomplicated/conjure~|[self|~Empty Slot@large~|e.getvar(~x~)|e.getvar(~y~)]); sfx(~_thinghappens~); },,ODD,,GRAY,change_power,change_power,,,0,YES,NO,cannotreuse,,,,,,,,,e.setvar(~x~|e.x); e.setvar(~y~|e.y);,,e.preventdefault = true; e.maintainfury = true;,
Prototype_upgraded,Get a copy of one of|your unused items,nm,,2,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var choseneq = rand(eqs); var eq = null; if (choseneq.size == 2) eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~)]); else eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~) + 144]); sfx(~_thinghappens~); } else { var eq = runscript(~overcomplicated/conjure~|[self|~Empty Slot@large~|e.getvar(~x~)|e.getvar(~y~)]); sfx(~_thinghappens~); },,NORMAL,,GRAY,,,,,0,YES,NO,cannotreuse,,,,,,,,,e.setvar(~x~|e.x); e.setvar(~y~|e.y);,,e.preventdefault = true; e.maintainfury = true;,
Prototype_downgraded,Get a copy of one of|your unused items,nm,,2,var eqs = []; for (eq in self.equipment) { if (eq.ready && eq.skillcard == ~~) { eqs.push(eq); } } if (eqs.length > 0) { var choseneq = rand(eqs); var eq = null; if (choseneq.size == 2) eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~)]); else eq = runscript(~overcomplicated/conjure~|[self|choseneq.name|e.getvar(~x~)|e.getvar(~y~) + 144]); sfx(~_thinghappens~); } else { var eq = runscript(~overcomplicated/conjure~|[self|~Empty Slot@large~|e.getvar(~x~)|e.getvar(~y~)]); sfx(~_thinghappens~); },,REQUIRE3,,GRAY,,,,,0,YES,NO,cannotreuse,,,,,,,,,e.setvar(~x~|e.x); e.setvar(~y~|e.y);,,e.preventdefault = true; e.maintainfury = true;,
Empty Slot@large,No effect,terry,,2,sfx(~_whoosh~);,,NORMAL,,GRAY,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Empty Slot@large_upgraded,No effect,terry,,2,sfx(~_whoosh~);,,NORMAL|FREE6,,GRAY,,,,,0,YES,NO,,,,,,,,,,,,,
Empty Slot@large_downgraded,No effect,terry,,2,sfx(~_whoosh~);,,ODD,,GRAY,,,,,0,YES,NO,,,,,,,,,,,,,
Triple Clothesline,Do [sword]1 dmg[;] dice +1|,wibi,,1,attack(1); givedice(d + 1); var dmgcheer = 1; if(e.usesleft == 0) { dmgcheer = 7; } sfxdamage(target|dmgcheer);,,MAX4,,RED,change_power,change_power,,,3,NO,NO,,,,,,,,,,,,,givedice(d + 1);
Triple Clothesline_upgraded,Do [sword]3 dmg[;] dice +3,wibi,,1,attack(3); givedice(d + 3); sfxdamage(target|7);,,MAX4,,RED,,,,,0,NO,NO,,,,,,,,,,,,,givedice(d + 3);
Triple Clothesline_downgraded,Do [sword]1 damage|,wibi,,1,attack(1); var dmgcheer = 1; if(e.usesleft == 0) { dmgcheer = 7; } sfxdamage(target|dmgcheer);,,MAX4,,RED,,,,,3,NO,NO,,,,,,,,,,,,,
Star Punch,Do 12 damage|Use three 6s on other|equipment to enable,wibi,,1,/* hahaha not implemented */,,REQUIRE6,,RED,,,,,0,NO,NO,excludefromrandomlists|unfinished,,,,,,,,,,,,
Sidegrade Hammer,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]1 shock,wibi,,2,attack(d| SHOCK); if(d == 6) inflict(SHOCK); if(d < 6) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_shock~|~~|0.2); },Jackhammer,NORMAL,,YELLOW,change_power,change_power,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Sidegrade Hammer_downgraded,Do [shock]<d6> damage,wibi,,2,attack(d| SHOCK);,Jackhammer,NORMAL,,YELLOW,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Sidegrade Hammer_upgraded,Do [shock]<d6> damage[;]|on 6[;] inflict [shock]2 shock|[80%][gray]''I lied'',wibi,makes sense,1,attack(d| SHOCK); if(d == 6) inflict(SHOCK|2); if(d < 6) { sfxdamage(target|d); } else { sfxdamage(target|d); sfx(~_shock~|~~|0.2); },Jackhammer,NORMAL,,YELLOW,,,,,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Wispy Kaboom Smash,Transform into Wisp|for 1 turn,dummy,makes sense,1,if(simulation) { bonus(2000); } else { reunion_transform(self|~Wisp~|false); delay(1.0); },Heat Ray,COUNTDOWN,16,PINK,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Wispy Kaboom Smash_upgraded,Transform into Wisp|for 1 turn,dummy,idk,1,if(simulation) { bonus(2000); } else { reunion_transform(self|~Wisp~|false); delay(1.0); },Heat Ray,COUNTDOWN,12,PINK,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Wispy Kaboom Smash_downgraded,Inflict [vanish]Vanish,dummy,idk,1,inflict(VANISH); sfx(~_vanish~|~~|0.2);,Heat Ray,COUNTDOWN,16,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Wispy Kaboom Smash_weakened,Inflict [vanish]Vanish,dummy,technically useful for splitting 7s,1,inflict(VANISH); sfx(~_vanish~|~~|0.2);,Heat Ray,COUNTDOWN,12,PINK,change_power,change_power,,,0,NO,NO,,,,,,,,,,,,,
Type Coersion,Dice value -0,dummy,technically useful for splitting 7s,1,givedice(d - 0);,Broken Gadget,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Type Coersion_upgraded,Dice value -0|[gray](Reuseable),dummy,  ,1,givedice(d - 0);,Broken Gadget,NORMAL,,GREEN,change_power,change_power,,,-1,YES,NO,,,,,,,,,,,,,
Type Coersion_downgraded,Dice value = 0,dummy,sorry but it sounded really funny in my mind,1,givedice(0);,Broken Gadget,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
