Name,Description,Script
Helium Script,(should not appear),if(!self.isplayer){ target.getvar(~dicegrav_trigger~).stop(); target.resetvar(~dicegrav_trigger~); }else if(target.hp == 0){ self.getvar(~dicegrav_trigger~).stop(); self.resetvar(~dicegrav_trigger~); }; if(getstatusself(~helium~) == 0){ if(self.varexists(~dicegrav_trigger~)){ self.getvar(~dicegrav_trigger~).stop(); self.resetvar(~dicegrav_trigger~); }; }else{ var flag = false; for(mydice in self.dicepool){ if(mydice.available()){ flag = true; mydice.kick(-90[;]5+3*getstatusself(~helium~)); if(mydice.y < 50){ mydice.animate(~disappear~); }; }; }; };
Weak Helium,(should not appear),if(!self.isplayer){ target.getvar(~dicegrav_trigger~).stop(); target.resetvar(~dicegrav_trigger~); }else if(target.hp == 0){ self.getvar(~dicegrav_trigger~).stop(); self.resetvar(~dicegrav_trigger~); }; else{ var flag = false; for(mydice in self.dicepool){ if(mydice.available()){ flag = true; mydice.kick(-90[;]5+3*getstatusself(~helium~)); if(mydice.y < 50){ mydice.animate(~disappear~); }; }; }; };
Dizzy Script,(should not appear),if(!self.isplayer){ target.getvar(~diceshake_trigger~).stop(); target.resetvar(~diceshake_trigger~); }else if(target.hp == 0){ self.getvar(~diceshake_trigger~).stop(); self.resetvar(~diceshake_trigger~); }; else{ var flag = false; for(mydice in self.dicepool){ if(mydice.available()){ flag = true; mydice.kick(pick([10[;]20[;]30[;]40[;]50[;]60[;]70[;]80[;]90[;]100[;]110[;]120[;]130[;]140[;]150[;]160[;]170[;]180[;]190[;]210[;]220[;]230[;]240[;]250[;]260[;]270[;]280[;]290[;]300[;]310[;]320[;]330[;]340[;]350])[;]pick([3[;]3[;]5[;]5[;]5[;]8[;]8[;]10[;]13])); if(mydice.y < 20 # mydice.y > 2230 # mydice.x > 3100 # mydice.x < 10){ mydice.animate(~disappear~); trace(~X ~+mydice.x+~; Y ~+mydice.y); }; }; }; };
Gluestick,Lock [lock]1 dice,inflict(LOCK); sfx(~_lock~);
Cheat Engine,0xAllDice = 6;,if(self != null) { if(self.dicepool != null){ if(self.dicepool.length > 0) { for (mydice in self.dicepool){ mydice.basevalue = 6; } } } }
Cargo Lift,Roll 1[;] 2[;] 3[;] 4[;] 5[;] 6 (once),givedice([1[;]2[;]3[;]4[;]5[;]6]); if(!self.isplayer) var self = target; Gadget.changegadget(self[;] ~Cargo Lift~[;] ~Broken Gadget~);
Reinforcements,If out of dice[;] roll 2 dice,var diceavailable = false; for(dice in self.dicepool) { if(dice.available()) { diceavailable = true; break; } } for(eq in self.equipment) { if(eq.isready() && eq.assigneddice.length > 0) { for(dice in eq.assigneddice) { if(dice != null && dice.available()) { diceavailable = true; break; } } } } if(!diceavailable) { givedice([rand([1[;]2[;]3[;]4[;]5[;]6])[;]rand([1[;]2[;]3[;]4[;]5[;]6])]); } else { self.textparticle(~No effect!~); }
Parity Flip,Bump odds[;] nudge evens,var c = 0; if(self.dicepool.length > 0) { sfx(~diceroll~); for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue % 2 == 0){ mydice.animatereroll((mydice.basevalue - 1)[;] self.screenposition()[;] c * 0.05); c++; } if (mydice.available() && mydice.basevalue % 2 == 1){ mydice.animatereroll((mydice.basevalue + 1)[;] self.screenposition()[;] c * 0.05); c++; } } }
Improvise,Get a temporary item,giveequipment(rand(getequipmentlist(null[;][][;][~skillcard~[;]~excludefromrandomlists~[;]~robotonly~[;]~witchonly~[;]~onceperbattle~[;]~alternateversion~])));
Omegaflip,Flip dice under 4,var c = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue < 4){ mydice.animatereroll((7 - mydice.basevalue)[;] self.screenposition()[;] c * 0.05); c++; } } sfx(~useitem~);
lolsorandom,Reroll an active item,if(self.equipment.length > 0 && self.layout != ~DECK~) { var eqlist = []; for(eq in self.equipment) { if(eq.skillcard == ~~ && eq.isready(true) && !eq.temporary_thisturnonly && eq.onscreen() && !eq.hastag(~skillcard~)) { eqlist.push(eq); } }   if(eqlist.length > 0) { var choseneq = rand(eqlist); var smallorlarge = ~small~; if(choseneq.size > 1) { smallorlarge = ~large~; }     var exceptions = runscript(~ncrmod/getexceptions~[;][self]); var neweq = new elements.Equipment(rand(getequipmentlist(null[;][smallorlarge][;]exceptions))); runscript(~ncrmod/replaceequipment~[;][self[;]neweq[;]choseneq]); runscript(~ncrmod/evalstarthooks~[;][self[;]target[;]neweq]); neweq.animate(~flashandshake~); sfx(~upgradeequipment~); } else { self.textparticle(~No effect!~); } } else { self.textparticle(~No effect!~); }
