Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
ncr_silence,Silence,silence,Temporarily disables your most important equipment.|Can use two dice to unsilence.,NO,YES,NO,NO,YES,/*as it turns out megaquest ALSO has a custom silence implementation for enemies... i think my 'most important card' thing is a bit nicer though. anyway i need to actually play megaquest some time; the betas i got of it were rather frustrating and unfair but my feedback probably helped*/ if(self.isplayer) { var tw = new motion.actuators.SimpleActuator(null|0.01|null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  removestatus(\~ncr_silence\~|ALL); inflict(SILENCE); ~; tw.onComplete(s.execute|[target|self]); tw.move(); } else { self.symbolparticle(~silence~); },,,runscript(~ncrmod/doncrsilence~|[self]);,,,,,,,
alternate_ncr_silence,Silence?!,silence,Temporarily weakens your most important equipment.|Equipment becomes less powerful.,NO,YES,NO,NO,YES,if(self.isplayer) { var tw = new motion.actuators.SimpleActuator(null|0.01|null); var s = new elements.Skill(~Against all odds_old~); s.script = ~  removestatus(\~ncr_silence\~|ALL); inflict(\~alternate_silence\~); ~; tw.onComplete(s.execute|[target|self]); tw.move(); } else { self.symbolparticle(~silence~); },,,runscript(~ncrmod/doncrsilence~|[self]);,,,,,,,
ncr_dummysilence,Silence,silence,Cannot use special character skills or limit breaks.,NO,YES,NO,NO,YES,,,,,,,,,,,
alternate_ncr_dummysilence,Silence?,silence,Limit break is less powerful.,NO,YES,NO,NO,YES,,,,,,,,,,,
turnaround,Turned_Around,recycle,You are turned around.,NO,YES,YES,YES,NO,runscript(~dummy/turnaround~|[self|false|target]);,,,,,,,,,,
extradamage_singleturn,Extra,sword,Do [sword]<value> extra damage with each attack this turn.,YES,YES,NO,NO,NO,Rules.bonusdamage = status.value;,,,,,,Rules.bonusdamage = 0;,,,,
damocles,Damocles,sword,Damocles tracker status|YELL AT TROBBY! THIS SHOULDNT APPEAR,NO,NO,NO,YES,NO,inflict(~damoclesdamage~); self.setvar(~damoclesAttack~|false); self.setvar(~damoclesReady~|false); trace(~Damocles infliction~);,,,,,,,,,if(!self.getvar(~damoclesReady~)) { var chosenDelay = rand([61|82|103|124|145|166|187|208])/rand([2|3|4|5|6|7]); trace(~Damocles delay is set to ~+chosenDelay); var actuator = new motion.actuators.SimpleActuator(null|chosenDelay|null); var s = new elements.Skill(~Against all odds_old~); s.script = ~sfx(\~_metals\~); self.setvar(\~damoclesAttack\~|true); trace(\~Damocles will attack now\~)~; actuator.onComplete(s.execute|[self|target]); actuator.move(); }; self.setvar(~damoclesReady~|true);,
berserk,Berserk,berserk,All damage you inflict is doubled until the end of the turn.,YES,NO,NO,NO,NO,inflict(~realberserk~);,,,inflict(~realberserk~);,,,var berserk = self.getstatus(~berserk~); berserk.value--; berserk._displayvalue = berserk.value; if(berserk.value <=0) berserk.cleanup = true;,,,,
realberserk,Berserk,berserk,YELL AT TROBBY! THIS SHOULDNT APPEAR,NO,YES,YES,YES,NO,,,status.scriptmodifydamage = ~~;,,,,status.scriptmodifydamage = ~~;,status.scriptmodifydamage = ~~;,,,
damoclesdamage,Damocles,sword,Damocles damage status|YELL AT TROBBY! THIS SHOULDNT APPEAR,NO,YES,YES,YES,NO,status.scriptmodifydamage = ~return (dmg * 2);~;,,,,,,,status.scriptmodifydamage = ~~;,,,
